College,Year,Credit Enrollment Count,Credit Success Count,Degree Applicable Enrollment Count,Degree Applicable Success Count,Transferable Enrollment Count,Transferable Success Count
Canyons,2022-2023,97920.0,81315.0,97515.0,80944.0,75077.0,58689.0
Canyons,2023-2024,101428.0,83325.0,101007.0,82920.0,79096.0,61194.0
Cerritos,2014-2015,123133.0,83924.0,109598.0,75950.0,98348.0,68239.0
Cerritos,2015-2016,121786.0,82890.0,108701.0,75150.0,98114.0,67995.0
Cerritos,2016-2017,114264.0,78631.0,102704.0,71892.0,92257.0,65019.0
Cerritos,2017-2018,112127.0,75969.0,101648.0,70075.0,91011.0,63247.0
Cerritos,2018-2019,114003.0,79011.0,106050.0,74812.0,92343.0,64800.0
Cerritos,2019-2020,109012.0,79018.0,104377.0,76242.0,94157.0,68631.0
Cerritos,2020-2021,108882.0,72332.0,106560.0,71150.0,96495.0,63543.0
Cerritos,2021-2022,94958.0,63524.0,93544.0,62838.0,84066.0,55220.0
Cerritos,2022-2023,95387.0,63578.0,94936.0,63309.0,90117.0,60303.0
Cerritos,2023-2024,102606.0,69456.0,102146.0,69170.0,99279.0,67006.0
Cerro Coso,2014-2015,19608.0,13796.0,16865.0,11461.0,14792.0,10107.0
Cerro Coso,2015-2016,19791.0,13744.0,17132.0,11554.0,15132.0,10250.0
Cerro Coso,2016-2017,20699.0,14953.0,18489.0,12943.0,16605.0,11793.0
Cerro Coso,2017-2018,22612.0,16889.0,20731.0,15221.0,18748.0,13895.0
Cerro Coso,2018-2019,24163.0,18460.0,22839.0,17222.0,20687.0,15769.0
Cerro Coso,2019-2020,21870.0,17047.0,21511.0,16725.0,20479.0,16028.0
Cerro Coso,2020-2021,21475.0,16365.0,20839.0,15763.0,19651.0,14908.0
Cerro Coso,2021-2022,19798.0,14751.0,19271.0,14254.0,18092.0,13413.0
Cerro Coso,2022-2023,20464.0,15574.0,19890.0,15072.0,18618.0,14099.0
Cerro Coso,2023-2024,21873.0,16603.0,21085.0,15826.0,19254.0,14309.0
