College,Year,Student Count,EOPS Student Count
Las Positas,2014-2015,11858,211
Las Positas,2015-2016,12449,243
Las Positas,2016-2017,12856,251
Las Positas,2017-2018,12772,285
Las Positas,2018-2019,12487,344
Las Positas,2019-2020,12029,359
Lassen,2014-2015,4700,209
Lassen,2015-2016,4374,196
Lassen,2016-2017,3791,182
Lassen,2017-2018,4138,241
Lassen,2018-2019,4461,184
Lassen,2019-2020,3928,216
Long Beach,2014-2015,33647,1575
Long Beach,2015-2016,33929,1516
Long Beach,2016-2017,35390,1464
Long Beach,2017-2018,35141,1710
Long Beach,2018-2019,35392,1572
Long Beach,2019-2020,36304,1740
Los Medanos,2014-2015,12476,472
Los Medanos,2015-2016,12735,567
Los Medanos,2016-2017,12730,676
Los Medanos,2017-2018,13124,674
Los Medanos,2018-2019,13532,789
Los Medanos,2019-2020,13094,714
Marin,2014-2015,9322,283
Marin,2015-2016,9314,308
Marin,2016-2017,9612,327
Marin,2017-2018,9964,307
Marin,2018-2019,9727,315
Marin,2019-2020,9158,315
Mendocino,2014-2015,6503,271
Mendocino,2015-2016,6744,427
Mendocino,2016-2017,6886,467
Mendocino,2017-2018,6666,513
Mendocino,2018-2019,6695,515
Mendocino,2019-2020,6628,560
Merced,2014-2015,14602,950
Merced,2015-2016,14743,1089
Merced,2016-2017,15416,1138
Merced,2017-2018,16361,1098
Merced,2018-2019,16773,1136
Merced,2019-2020,16400,1130
Merritt,2014-2015,10422,486
Merritt,2015-2016,10692,520
Merritt,2016-2017,10933,504
Merritt,2017-2018,11504,579
Merritt,2018-2019,12668,519
Merritt,2019-2020,11901,450
MiraCosta,2014-2015,23555,557
MiraCosta,2015-2016,24060,636
MiraCosta,2016-2017,23648,677
MiraCosta,2017-2018,23354,575
MiraCosta,2018-2019,22261,690
MiraCosta,2019-2020,21097,651
Mission,2014-2015,14562,350
Mission,2015-2016,14777,380
Mission,2016-2017,15228,505
Mission,2017-2018,13981,408
Mission,2018-2019,14066,406
Mission,2019-2020,12957,406
Modesto,2014-2015,24480,935
Modesto,2015-2016,24228,1240
Modesto,2016-2017,24536,1279
Modesto,2017-2018,24743,1322
Modesto,2018-2019,25389,1311
Modesto,2019-2020,25609,1389
Monterey,2014-2015,14668,432
Monterey,2015-2016,13796,613
Monterey,2016-2017,15011,708
Monterey,2017-2018,12964,730
Monterey,2018-2019,12681,752
Monterey,2019-2020,11929,814
Moorpark,2014-2015,18752,448
Moorpark,2015-2016,19209,463
Moorpark,2016-2017,19389,461
Moorpark,2017-2018,19915,495
Moorpark,2018-2019,19872,475
Moorpark,2019-2020,20181,499
Moreno Valley,2014-2015,12903,355
Moreno Valley,2015-2016,13514,464
Moreno Valley,2016-2017,14351,447
Moreno Valley,2017-2018,14889,499
Moreno Valley,2018-2019,15296,581
Moreno Valley,2019-2020,15820,664
Mt San Antonio,2014-2015,58074,853
Mt San Antonio,2015-2016,59815,1035
Mt San Antonio,2016-2017,62484,1015
Mt San Antonio,2017-2018,66369,1294
Mt San Antonio,2018-2019,66655,1304
Mt San Antonio,2019-2020,68038,1405
Mt. San Jacinto,2014-2015,21391,427
Mt. San Jacinto,2015-2016,22938,499
Mt. San Jacinto,2016-2017,22943,465
Mt. San Jacinto,2017-2018,23296,478
Mt. San Jacinto,2018-2019,23537,454
Mt. San Jacinto,2019-2020,23162,465
Napa,2014-2015,9487,234
Napa,2015-2016,9388,250
Napa,2016-2017,9095,325
Napa,2017-2018,8873,321
Napa,2018-2019,8171,294
Napa,2019-2020,7914,288
Norco,2014-2015,13087,305
Norco,2015-2016,13382,321
Norco,2016-2017,14004,378
Norco,2017-2018,14676,444
Norco,2018-2019,15330,400
Norco,2019-2020,16670,400
Ohlone,2014-2015,17138,203
Ohlone,2015-2016,16872,211
Ohlone,2016-2017,17137,243
Ohlone,2017-2018,15158,273
Ohlone,2018-2019,15726,262
Ohlone,2019-2020,17724,291
Orange Coast,2014-2015,28475,1353
Orange Coast,2015-2016,28867,1473
Orange Coast,2016-2017,28712,1526
Orange Coast,2017-2018,28834,1319
Orange Coast,2018-2019,27907,1442
Orange Coast,2019-2020,26883,1238
Oxnard,2014-2015,10387,817
Oxnard,2015-2016,10400,877
Oxnard,2016-2017,10623,920
Oxnard,2017-2018,10656,874
Oxnard,2018-2019,10498,837
Oxnard,2019-2020,10671,881
Palo Verde,2014-2015,5611,449
Palo Verde,2015-2016,6671,445
Palo Verde,2016-2017,6292,486
Palo Verde,2017-2018,6724,671
Palo Verde,2018-2019,6019,770
Palo Verde,2019-2020,6478,806
Palomar,2014-2015,37450,852
Palomar,2015-2016,36156,916
Palomar,2016-2017,37021,1018
Palomar,2017-2018,36649,894
Palomar,2018-2019,36323,859
Palomar,2019-2020,35446,859
Pasadena,2014-2015,41149,807
Pasadena,2015-2016,41090,856
Pasadena,2016-2017,43747,910
Pasadena,2017-2018,41714,924
Pasadena,2018-2019,40705,1083
Pasadena,2019-2020,40294,1045
Porterville,2014-2015,5037,464
Porterville,2015-2016,5160,721
Porterville,2016-2017,5436,733
Porterville,2017-2018,5204,720
Porterville,2018-2019,5468,732
Porterville,2019-2020,5853,757
Redwoods,2014-2015,6996,893
Redwoods,2015-2016,7149,815
Redwoods,2016-2017,7781,743
Redwoods,2017-2018,7218,680
Redwoods,2018-2019,7208,777
Redwoods,2019-2020,6734,673
Reedley College,2014-2015,20726,654
Reedley College,2015-2016,16020,876
Reedley College,2016-2017,15592,998
Reedley College,2017-2018,16746,1005
Reedley College,2018-2019,18263,1076
Reedley College,2019-2020,19075,1056
Rio Hondo,2014-2015,27821,991
Rio Hondo,2015-2016,28096,1195
Rio Hondo,2016-2017,28889,1415
Rio Hondo,2017-2018,30853,1564
Rio Hondo,2018-2019,31478,1635
Rio Hondo,2019-2020,28659,1603
Riverside,2014-2015,26867,501
Riverside,2015-2016,27725,597
Riverside,2016-2017,29258,939
Riverside,2017-2018,29942,1031
Riverside,2018-2019,30522,1037
Riverside,2019-2020,30824,1139
Sacramento City,2014-2015,33234,1088
Sacramento City,2015-2016,32743,1092
Sacramento City,2016-2017,31630,1133
Sacramento City,2017-2018,31503,1132
Sacramento City,2018-2019,30790,1222
Sacramento City,2019-2020,30110,1121
Saddleback,2014-2015,37070,366
Saddleback,2015-2016,37527,421
Saddleback,2016-2017,39282,506
Saddleback,2017-2018,39790,518
Saddleback,2018-2019,39912,500
Saddleback,2019-2020,40993,533
San Bernardino,2014-2015,17098,784
San Bernardino,2015-2016,17415,822
San Bernardino,2016-2017,17789,860
San Bernardino,2017-2018,19311,825
San Bernardino,2018-2019,19311,866
San Bernardino,2019-2020,19564,765
San Diego City,2014-2015,24006,1357
San Diego City,2015-2016,24803,1284
San Diego City,2016-2017,25228,1232
San Diego City,2017-2018,24084,1237
San Diego City,2018-2019,22809,1609
San Diego City,2019-2020,21516,1028
San Diego Mesa,2014-2015,34345,614
San Diego Mesa,2015-2016,34968,668
San Diego Mesa,2016-2017,34214,737
San Diego Mesa,2017-2018,34836,1097
San Diego Mesa,2018-2019,33036,700
San Diego Mesa,2019-2020,31300,778
San Diego Miramar,2014-2015,19133,439
San Diego Miramar,2015-2016,20852,521
San Diego Miramar,2016-2017,23684,569
San Diego Miramar,2017-2018,25993,858
San Diego Miramar,2018-2019,25016,627
San Diego Miramar,2019-2020,21569,565
San Francisco,2014-2015,36173,1038
San Francisco,2015-2016,36047,1165
San Francisco,2016-2017,33878,1090
San Francisco,2017-2018,39486,1204
San Francisco,2018-2019,40033,1222
San Francisco,2019-2020,35618,1241
San Joaquin Delta,2014-2015,24084,969
San Joaquin Delta,2015-2016,24036,942
San Joaquin Delta,2016-2017,23957,917
San Joaquin Delta,2017-2018,23717,1016
San Joaquin Delta,2018-2019,23840,1013
San Joaquin Delta,2019-2020,26137,1139
San Jose City,2014-2015,12863,636
San Jose City,2015-2016,12619,805
San Jose City,2016-2017,12149,787
San Jose City,2017-2018,14297,793
San Jose City,2018-2019,14918,875
San Jose City,2019-2020,14333,839
San Mateo,2014-2015,13888,362
San Mateo,2015-2016,13753,387
San Mateo,2016-2017,13941,404
San Mateo,2017-2018,14142,408
San Mateo,2018-2019,13529,411
San Mateo,2019-2020,12460,478
Santa Ana,2014-2015,62507,1192
Santa Ana,2015-2016,62252,1348
Santa Ana,2016-2017,59753,1473
Santa Ana,2017-2018,61767,1529
Santa Ana,2018-2019,59682,1626
Santa Ana,2019-2020,52566,1543
Santa Barbara,2014-2015,26478,1225
Santa Barbara,2015-2016,26634,1091
Santa Barbara,2016-2017,25186,1114
Santa Barbara,2017-2018,24041,1141
Santa Barbara,2018-2019,22842,1188
Santa Barbara,2019-2020,21227,1222
Santa Monica,2014-2015,45264,882
Santa Monica,2015-2016,45526,1066
Santa Monica,2016-2017,45335,1155
Santa Monica,2017-2018,44485,1020
Santa Monica,2018-2019,43077,943
Santa Monica,2019-2020,41871,864
Santa Rosa,2014-2015,38269,581
Santa Rosa,2015-2016,38763,656
Santa Rosa,2016-2017,37940,726
Santa Rosa,2017-2018,38340,733
Santa Rosa,2018-2019,36613,740
Santa Rosa,2019-2020,34246,801
Santiago Canyon,2014-2015,26750,316
Santiago Canyon,2015-2016,26763,364
Santiago Canyon,2016-2017,28416,399
Santiago Canyon,2017-2018,28603,412
Santiago Canyon,2018-2019,26581,384
Santiago Canyon,2019-2020,24101,358
Sequoias,2014-2015,14675,993
Sequoias,2015-2016,15502,1066
Sequoias,2016-2017,16317,1070
Sequoias,2017-2018,16787,1103
Sequoias,2018-2019,16645,1132
Sequoias,2019-2020,17080,1185
Shasta,2014-2015,12533,711
Shasta,2015-2016,13412,792
Shasta,2016-2017,13948,807
Shasta,2017-2018,13780,941
Shasta,2018-2019,13430,885
Shasta,2019-2020,13105,945
Sierra,2014-2015,25102,616
Sierra,2015-2016,25023,666
Sierra,2016-2017,24557,711
Sierra,2017-2018,25434,742
Sierra,2018-2019,25983,803
Sierra,2019-2020,25685,834
Siskiyous,2014-2015,5380,276
Siskiyous,2015-2016,5557,269
Siskiyous,2016-2017,6411,260
Siskiyous,2017-2018,6363,259
Siskiyous,2018-2019,5372,218
Siskiyous,2019-2020,4846,213
Skyline,2014-2015,16057,397
Skyline,2015-2016,15665,398
Skyline,2016-2017,15195,360
Skyline,2017-2018,14744,428
Skyline,2018-2019,14538,376
Skyline,2019-2020,14532,311
Solano,2014-2015,14384,392
Solano,2015-2016,14127,335
Solano,2016-2017,13945,270
Solano,2017-2018,13658,206
Solano,2018-2019,13628,208
Solano,2019-2020,13354,251
Southwestern,2014-2015,26728,1907
Southwestern,2015-2016,26592,2000
Southwestern,2016-2017,26817,2218
Southwestern,2017-2018,27479,2301
Southwestern,2018-2019,28036,2141
Southwestern,2019-2020,28906,2186
Taft,2014-2015,9661,228
Taft,2015-2016,8831,252
Taft,2016-2017,9547,297
Taft,2017-2018,9507,310
Taft,2018-2019,9046,323
Taft,2019-2020,8439,349
Ventura,2014-2015,18644,717
Ventura,2015-2016,19050,741
Ventura,2016-2017,18953,703
Ventura,2017-2018,19147,773
Ventura,2018-2019,18960,725
Ventura,2019-2020,18235,598
Victor Valley,2014-2015,16154,1156
Victor Valley,2015-2016,16213,1151
Victor Valley,2016-2017,16098,1274
Victor Valley,2017-2018,16421,1330
Victor Valley,2018-2019,16723,1613
Victor Valley,2019-2020,17518,1632
West Hills Coalinga,2014-2015,3897,186
West Hills Coalinga,2015-2016,4336,164
West Hills Coalinga,2016-2017,4974,209
West Hills Coalinga,2017-2018,5334,263
West Hills Coalinga,2018-2019,6776,241
West Hills Coalinga,2019-2020,6026,275
West Hills Lemoore,2014-2015,5768,189
West Hills Lemoore,2015-2016,5926,190
West Hills Lemoore,2016-2017,6101,274
West Hills Lemoore,2017-2018,6602,314
West Hills Lemoore,2018-2019,6887,332
West Hills Lemoore,2019-2020,6671,420
West LA,2014-2015,14897,505
West LA,2015-2016,16532,576
West LA,2016-2017,17806,673
West LA,2017-2018,19089,558
West LA,2018-2019,20644,639
West LA,2019-2020,21825,774
West Valley,2014-2015,15405,258
West Valley,2015-2016,16088,276
West Valley,2016-2017,15869,370
West Valley,2017-2018,13792,364
West Valley,2018-2019,14160,374
West Valley,2019-2020,13975,373
Woodland,2014-2015,3964,181
Woodland,2015-2016,4648,200
Woodland,2016-2017,6308,463
Woodland,2017-2018,6247,453
Woodland,2018-2019,6299,491
Woodland,2019-2020,6398,428
Yuba,2014-2015,9662,727
Yuba,2015-2016,10194,848
Yuba,2016-2017,9454,752
Yuba,2017-2018,8846,778
Yuba,2018-2019,8829,767
Yuba,2019-2020,8538,779
