College,Year,Student Count,EOPS Student Count
Crafton Hills,2022-2023,7091,258
Crafton Hills,2023-2024,8616,326
Cuesta,2014-2015,14608,253
Cuesta,2015-2016,15645,263
Cuesta,2016-2017,16277,270
Cuesta,2017-2018,16740,278
Cuesta,2018-2019,17493,281
Cuesta,2019-2020,17491,300
Cuesta,2020-2021,13684,235
Cuesta,2021-2022,14093,216
Cuesta,2022-2023,15305,201
Cuesta,2023-2024,15867,242
Cuyamaca,2014-2015,13106,883
Cuyamaca,2015-2016,13421,911
Cuyamaca,2016-2017,14239,975
Cuyamaca,2017-2018,13698,1053
Cuyamaca,2018-2019,13206,1214
Cuyamaca,2019-2020,13078,1014
Cuyamaca,2020-2021,12155,669
Cuyamaca,2021-2022,11383,614
Cuyamaca,2022-2023,11677,705
Cuyamaca,2023-2024,12448,903
Cypress,2014-2015,20661,588
Cypress,2015-2016,21696,655
Cypress,2016-2017,21236,800
Cypress,2017-2018,21127,841
Cypress,2018-2019,21445,973
Cypress,2019-2020,20925,1080
Cypress,2020-2021,19974,993
Cypress,2021-2022,17715,814
Cypress,2022-2023,17243,801
Cypress,2023-2024,18458,780
Deanza,2014-2015,33748,769
Deanza,2015-2016,32200,951
Deanza,2016-2017,31420,877
Deanza,2017-2018,30126,839
Deanza,2018-2019,28384,749
Deanza,2019-2020,27097,716
Deanza,2020-2021,27309,743
Deanza,2021-2022,25081,596
Deanza,2022-2023,24732,587
Deanza,2023-2024,25847,474
Desert,2014-2015,14186,320
Desert,2015-2016,15716,396
Desert,2016-2017,16069,426
Desert,2017-2018,16250,416
Desert,2018-2019,16308,420
Desert,2019-2020,17087,459
Desert,2020-2021,13136,441
Desert,2021-2022,13781,432
Desert,2022-2023,15837,476
Desert,2023-2024,15794,336
Diablo Valley,2014-2015,29128,636
Diablo Valley,2015-2016,29021,733
Diablo Valley,2016-2017,28916,813
Diablo Valley,2017-2018,28880,804
Diablo Valley,2018-2019,28806,782
Diablo Valley,2019-2020,28093,742
Diablo Valley,2020-2021,26844,691
Diablo Valley,2021-2022,23531,582
Diablo Valley,2022-2023,22243,520
Diablo Valley,2023-2024,23025,548
East LA,2014-2015,55312,1531
East LA,2015-2016,57649,1535
East LA,2016-2017,62670,1770
East LA,2017-2018,61946,2102
East LA,2018-2019,60444,2149
East LA,2019-2020,58546,2228
East LA,2020-2021,51078,1354
East LA,2021-2022,46948,1037
East LA,2022-2023,49289,1100
East LA,2023-2024,56613,1280
El Camino,2014-2015,33086,1184
El Camino,2015-2016,32471,1173
El Camino,2016-2017,33519,1687
El Camino,2017-2018,33930,1720
El Camino,2018-2019,34678,1746
El Camino,2019-2020,33440,1746
El Camino,2020-2021,29245,1448
El Camino,2021-2022,28424,1155
El Camino,2022-2023,30353,1164
El Camino,2023-2024,32124,1275
Evergreen Valley,2014-2015,13725,468
Evergreen Valley,2015-2016,13710,668
Evergreen Valley,2016-2017,14028,673
Evergreen Valley,2017-2018,14593,723
Evergreen Valley,2018-2019,14634,761
Evergreen Valley,2019-2020,14881,664
Evergreen Valley,2020-2021,13075,370
Evergreen Valley,2021-2022,11672,271
Evergreen Valley,2022-2023,11699,276
Evergreen Valley,2023-2024,13391,326
Feather River,2014-2015,3100,142
Feather River,2015-2016,3308,119
Feather River,2016-2017,2680,125
Feather River,2017-2018,3475,129
Feather River,2018-2019,3379,105
Feather River,2019-2020,2673,102
Feather River,2020-2021,2503,100
Feather River,2021-2022,2388,96
Feather River,2022-2023,2545,72
Feather River,2023-2024,2657,103
Folsom Lake,2014-2015,10945,181
Folsom Lake,2015-2016,12062,230
Folsom Lake,2016-2017,12130,274
Folsom Lake,2017-2018,12113,290
Folsom Lake,2018-2019,12370,333
Folsom Lake,2019-2020,12843,338
Folsom Lake,2020-2021,13216,302
Folsom Lake,2021-2022,11721,244
Folsom Lake,2022-2023,12325,264
Folsom Lake,2023-2024,14777,332
Foothill,2014-2015,28355,402
Foothill,2015-2016,29771,432
Foothill,2016-2017,31908,426
Foothill,2017-2018,31331,422
Foothill,2018-2019,30167,410
Foothill,2019-2020,30260,366
Foothill,2020-2021,26404,257
Foothill,2021-2022,22811,223
Foothill,2022-2023,22932,230
Foothill,2023-2024,23645,291
Fresno City,2014-2015,33244,1457
Fresno City,2015-2016,33831,1665
Fresno City,2016-2017,35374,1844
Fresno City,2017-2018,36570,1971
Fresno City,2018-2019,38294,2065
Fresno City,2019-2020,38442,2140
Fresno City,2020-2021,33774,2113
Fresno City,2021-2022,31363,2008
Fresno City,2022-2023,35527,2196
Fresno City,2023-2024,37396,2498
Fullerton,2014-2015,33471,1177
Fullerton,2015-2016,33315,1507
Fullerton,2016-2017,33663,1505
